iter	Passed	Remaining
301	8960	20708
302	8990	20680
303	9018	20647
304	9047	20615
305	9080	20594
306	9106	20556
307	9131	20516
308	9157	20477
309	9182	20437
310	9206	20397
311	9232	20359
312	9258	20321
313	9280	20275
314	9306	20238
315	9328	20192
316	9353	20152
317	9374	20106
318	9397	20062
319	9424	20026
320	9446	19981
321	9468	19937
322	9495	19902
323	9521	19865
324	9544	19822
325	9567	19781
326	9590	19738
327	9610	19690
328	9632	19644
329	9652	19597
330	9676	19558
331	9699	19516
332	9725	19480
333	9750	19443
334	9774	19403
335	9798	19363
336	9821	19321
337	9843	19279
338	9868	19242
339	9893	19204
340	9915	19161
341	9937	19119
342	9958	19074
343	9983	19039
344	10007	18999
345	10030	18960
346	10057	18926
347	10081	18888
348	10105	18849
349	10128	18810
350	10152	18771
351	10176	18734
352	10199	18695
353	10222	18654
354	10245	18615
355	10267	18574
356	10290	18534
357	10312	18493
358	10335	18454
359	10358	18415
360	10380	18374
361	10404	18337
362	10428	18299
363	10450	18260
364	10474	18223
365	10498	18185
366	10520	18144
367	10544	18108
368	10566	18069
369	10589	18030
370	10617	18000
371	10640	17962
372	10663	17924
373	10687	17889
374	10717	17862
375	10744	17831
376	10772	17801
377	10797	17767
378	10822	17732
379	10848	17699
380	10873	17665
381	10896	17627
382	10923	17597
383	10948	17563
384	10975	17532
385	11002	17502
386	11029	17470
387	11053	17435
388	11084	17410
389	11110	17378
390	11136	17344
391	11161	17311
392	11190	17284
393	11219	17256
394	11244	17222
395	11267	17186
396	11291	17151
397	11315	17114
398	11340	17081
399	11367	17050
400	11391	17015
401	11415	16981
402	11439	16946
403	11463	16911
404	11488	16878
405	11514	16846
406	11537	16809
407	11563	16778
408	11587	16743
409	11608	16704
410	11634	16673
411	11658	16638
412	11682	16604
413	11707	16571
414	11731	16537
415	11759	16507
416	11781	16471
417	11804	16435
418	11828	16401
419	11857	16374
420	11887	16348
421	11915	16320
422	11941	16289
423	11967	16257
424	12000	16236
425	12032	16212
426	12071	16198
427	12111	16186
428	12230	16278
429	12266	16260
430	12293	16229
431	12326	16206
432	12353	16175
433	12383	16149
434	12409	16118
435	12437	16088
436	12466	16060
437	12490	16026
438	12514	15992
439	12538	15957
440	12562	15924
441	12587	15891
442	12610	15855
443	12633	15820
444	12654	15783
445	12679	15750
446	12703	15715
447	12730	15685
448	12758	15656
449	12781	15621
450	12805	15587
451	12829	15554
452	12851	15518
453	12874	15483
454	12896	15447
455	12919	15413
456	12942	15378
457	12967	15346
458	12990	15310
459	13013	15277
460	13035	15241
461	13062	15210
462	13084	15175
463	13107	15141
464	13135	15112
465	13158	15078
466	13183	15046
467	13206	15012
468	13230	14979
469	13251	14943
470	13275	14909
471	13296	14874
472	13318	14838
473	13338	14802
474	13360	14766
475	13381	14731
476	13406	14699
477	13428	14664
478	13451	14630
479	13477	14601
480	13500	14567
481	13523	14533
482	13547	14500
483	13568	14465
484	13593	14434
485	13620	14405
486	13649	14378
487	13674	14347
488	13697	14313
489	13723	14283
490	13747	14251
491	13769	14217
492	13793	14184
493	13815	14151
494	13841	14121
495	13863	14086
496	13886	14053
497	13909	14020
498	13932	13988
499	13954	13954
500	13975	13919
501	13996	13885
502	14018	13851
503	14044	13821
504	14067	13788
505	14089	13755
506	14117	13727
507	14143	13698
508	14167	13666
509	14189	13632
510	14211	13599
511	14237	13569
512	14264	13541
513	14286	13508
514	14309	13475
515	14331	13442
516	14357	13413
517	14380	13380
518	14401	13347
519	14424	13315
520	14447	13283
521	14470	13250
522	14494	13220
523	14517	13187
524	14539	13154
525	14561	13121
526	14582	13088
527	14607	13057
528	14632	13028
529	14654	12995
530	14676	12963
531	14700	12931
532	14727	12903
533	14749	12871
534	14792	12856
535	14818	12828
536	14849	12803
537	14872	12771
538	14898	12742
539	14927	12716
540	14953	12686
541	14984	12662
542	15012	12634
543	15040	12607
544	15072	12583
545	15118	12571
546	15149	12546
547	15177	12518
548	15201	12487
549	15235	12465
550	15265	12439
551	15300	12417
552	15328	12390
553	15355	12362
554	15380	12332
555	15410	12305
556	15446	12285
557	15472	12256
558	15499	12227
559	15524	12197
560	15548	12167
561	15574	12137
562	15604	12112
563	15634	12086
564	15665	12061
565	15694	12033
566	15720	12004
567	15748	11977
568	15778	11951
569	15810	11926
570	15839	11900
571	15869	11874
572	15905	11852
573	15942	11832
574	15971	11804
575	16002	11779
576	16049	11765
577	16077	11738
578	16117	11719
579	16148	11693
580	16181	11669
581	16209	11641
582	16236	11613
583	16263	11584
584	16296	11560
585	16323	11532
586	16364	11513
587	16403	11493
588	16430	11465
589	16460	11438
590	16489	11411
591	16518	11384
592	16548	11357
593	16583	11334
594	16614	11308
595	16651	11286
596	16692	11268
597	16741	11254
598	16785	11237
599	16846	11231
600	16915	11230
601	16950	11206
602	16993	11188
603	17019	11158
604	17055	11135
605	17095	11114
606	17141	11098
607	17186	11080
608	17216	11053
609	17244	11025
610	17285	11004
611	17330	10987
612	17370	10966
613	17409	10944
614	17446	10921
615	17525	10924
616	17586	10916
617	17633	10899
618	17681	10883
619	17713	10856
620	17759	10838
621	17793	10813
622	17823	10785
623	17855	10759
624	17899	10739
625	17945	10721
626	17995	10705
627	18051	10692
628	18097	10674
629	18130	10647
630	18157	10618
631	18209	10603
632	18262	10588
633	18292	10560
634	18326	10534
635	18379	10519
636	18422	10498
637	18463	10476
638	18497	10449
639	18527	10421
640	18563	10396
641	18589	10366
642	18619	10337
643	18649	10309
644	18683	10283
645	18720	10258
646	18796	10255
647	18836	10232
648	18879	10210
649	18924	10189
650	18962	10165
651	19000	10141
652	19033	10114
653	19067	10087
654	19095	10058
655	19123	10028
656	19151	9998
657	19181	9969
658	19208	9939
659	19241	9912
660	19269	9882
661	19294	9851
662	19320	9820
663	19348	9791
664	19377	9761
665	19405	9731
666	19433	9702
667	19460	9672
668	19487	9641
669	19514	9611
670	19540	9581
671	19576	9555
672	19611	9528
673	19666	9512
674	19772	9520
675	19849	9513
676	19878	9484
677	19908	9455
678	19941	9427
679	19979	9402
680	20020	9378
681	20052	9349
682	20090	9324
683	20122	9296
684	20163	9272
685	20200	9246
686	20232	9218
687	20261	9188
688	20286	9157
689	20316	9127
690	20341	9096
691	20370	9066
692	20398	9036
693	20422	9004
694	20444	8972
695	20470	8941
696	20498	8910
697	20522	8879
698	20548	8848
699	20572	8816
700	20600	8786
701	20626	8756
702	20654	8726
703	20680	8695
704	20706	8664
705	20735	8635
706	20762	8604
707	20788	8573
708	20815	8543
709	20841	8512
710	20869	8482
711	20902	8454
712	20934	8426
713	20964	8397
714	20999	8370
715	21029	8341
716	21057	8311
717	21096	8285
718	21128	8257
719	21161	8229
720	21210	8207
721	21311	8205
722	21388	8194
723	21433	8170
724	21460	8140
725	21488	8110
726	21516	8079
727	21544	8049
728	21572	8019
729	21599	7988
730	21631	7960
731	21668	7933
732	21698	7903
733	21725	7873
734	21753	7842
735	21778	7811
736	21803	7780
737	21830	7750
738	21858	7719
739	21884	7689
740	21910	7658
741	21936	7627
742	21961	7596
743	21986	7565
744	22015	7535
745	22044	7505
746	22070	7475
747	22097	7444
748	22134	7417
749	22217	7405
750	22255	7379
751	22306	7356
752	22371	7338
753	22419	7314
754	22469	7291
755	22507	7264
756	22554	7240
757	22598	7214
758	22643	7189
759	22687	7164
760	22734	7139
761	22775	7113
762	22813	7086
763	22852	7059
764	22898	7034
765	22934	7006
766	22965	6976
767	22992	6945
768	23023	6916
769	23049	6884
770	23076	6854
771	23104	6823
772	23132	6793
773	23162	6763
774	23195	6734
775	23229	6705
776	23259	6675
777	23288	6645
778	23315	6614
779	23341	6583
780	23372	6553
781	23434	6532
782	23487	6509
783	23554	6489
784	23599	6463
785	23648	6438
786	23692	6412
787	23731	6384
788	23764	6355
789	23796	6325
790	23843	6300
791	23882	6272
792	23915	6242
793	23949	6213
794	23984	6184
795	24022	6156
796	24061	6128
797	24101	6100
798	24137	6072
799	24171	6042
800	24213	6015
801	24242	5985
802	24277	5955
803	24352	5936
804	24387	5907
805	24420	5877
806	24450	5847
807	24482	5817
808	24528	5791
809	24562	5761
810	24595	5731
811	24622	5700
812	24654	5670
813	24686	5640
814	24722	5611
815	24758	5582
816	24799	5554
817	24834	5525
818	24865	5495
819	24895	5464
820	24925	5434
821	24952	5403
822	24979	5372
823	25008	5341
824	25034	5310
825	25060	5279
826	25088	5248
827	25119	5218
828	25145	5186
829	25169	5155
830	25193	5123
831	25219	5092
832	25244	5061
833	25271	5030
834	25299	4999
835	25324	4967
836	25353	4937
837	25383	4907
838	25421	4878
839	25453	4848
840	25480	4817
841	25504	4785
842	25535	4755
843	25567	4725
844	25627	4700
845	25656	4670
846	25701	4642
847	25728	4611
848	25755	4580
849	25786	4550
850	25811	4519
851	25837	4488
852	25861	4456
853	25886	4425
854	25924	4396
855	25975	4369
856	26019	4341
857	26048	4311
858	26074	4279
859	26098	4248
860	26123	4217
861	26147	4186
862	26170	4154
863	26197	4123
864	26222	4092
865	26247	4061
866	26272	4030
867	26297	3999
868	26318	3967
869	26344	3936
870	26370	3905
871	26395	3874
872	26420	3843
873	26444	3812
874	26468	3781
875	26494	3750
876	26518	3719
877	26544	3688
878	26568	3657
879	26594	3626
880	26619	3595
881	26645	3564
882	26668	3533
883	26692	3502
884	26716	3471
885	26739	3440
886	26767	3410
887	26793	3379
888	26823	3349
889	26845	3317
890	26867	3286
891	26893	3256
892	26921	3225
893	26947	3195
894	26980	3165
895	27006	3134
896	27033	3104
897	27060	3073
898	27090	3043
899	27120	3013
900	27149	2983
901	27184	2953
902	27216	2923
903	27251	2894
904	27275	2863
905	27298	2832
906	27322	2801
907	27354	2771
908	27384	2741
909	27410	2710
910	27437	2680
911	27474	2651
912	27503	2620
913	27530	2590
914	27560	2560
915	27587	2529
916	27615	2499
917	27646	2469
918	27669	2438
919	27760	2413
920	27799	2384
921	27823	2353
922	27847	2323
923	27870	2292
924	27896	2261
925	27921	2231
926	27949	2200
927	27975	2170
928	28009	2140
929	28032	2109
930	28056	2079
931	28083	2049
932	28110	2018
933	28141	1988
934	28167	1958
935	28192	1927
936	28218	1897
937	28251	1867
938	28279	1837
939	28303	1806
940	28328	1776
941	28353	1745
942	28378	1715
943	28404	1685
944	28438	1655
945	28465	1624
946	28492	1594
947	28527	1564
948	28556	1534
949	28582	1504
950	28617	1474
951	28644	1444
952	28669	1413
953	28694	1383
954	28716	1353
955	28737	1322
956	28762	1292
957	28788	1262
958	28817	1232
959	28849	1202
960	28878	1171
961	28901	1141
962	28926	1111
963	28957	1081
964	28981	1051
965	29003	1020
966	29025	990
967	29048	960
968	29071	930
969	29093	899
970	29116	869
971	29143	839
972	29169	809
973	29191	779
974	29214	749
975	29240	719
976	29263	688
977	29288	658
978	29311	628
979	29336	598
980	29360	568
981	29386	538
982	29413	508
983	29436	478
984	29458	448
985	29485	418
986	29514	388
987	29539	358
988	29564	328
989	29588	298
990	29610	268
991	29633	238
992	29658	209
993	29681	179
994	29705	149
995	29730	119
996	29757	89
997	29782	59
998	29806	29
999	29831	0
