iter	Logloss
0	0.6866303646
1	0.6805321665
2	0.6745672515
3	0.6692453442
4	0.6625951131
5	0.657028545
6	0.652434089
7	0.646157756
8	0.64127766
9	0.6368447506
10	0.6317340966
11	0.6273365599
12	0.6221934232
13	0.6179188815
14	0.6139841947
15	0.6098098755
16	0.6055704753
17	0.6007500273
18	0.5966940793
19	0.5928810582
20	0.5893270319
21	0.5860299197
22	0.5828195052
23	0.5798901067
24	0.576633569
25	0.5733079621
26	0.5704898834
27	0.5674500899
28	0.5643071261
29	0.561684464
30	0.558787028
31	0.5559327097
32	0.5529848735
33	0.5496259747
34	0.5469146497
35	0.5448090524
36	0.5418433565
37	0.5388207869
38	0.5364186258
39	0.5341967958
40	0.5318463065
41	0.5296052297
42	0.5275128682
43	0.5253662341
44	0.5235411904
45	0.5213394743
46	0.5198535341
47	0.518454465
48	0.5166880868
49	0.5143070799
50	0.5121791146
51	0.5106110428
52	0.5086536407
53	0.5068076163
54	0.5048279618
55	0.5029314793
56	0.5012162526
57	0.4994738608
58	0.4978802999
59	0.4961825284
60	0.4944980506
61	0.4932149251
62	0.4920571067
63	0.4904359182
64	0.4889581854
65	0.4877769586
66	0.4865826693
67	0.4852230188
68	0.483430689
69	0.4819492282
70	0.4806378682
71	0.4793567946
72	0.4777134982
73	0.4764960607
74	0.4752432505
75	0.4736376387
76	0.4726508169
77	0.4711099682
78	0.46963264
79	0.4680759835
80	0.467178547
81	0.465830774
82	0.4650342537
83	0.4638767242
84	0.4626180475
85	0.4615392396
86	0.4606606455
87	0.4594132972
88	0.4578634031
89	0.456910798
90	0.4558514682
91	0.4550817085
92	0.4538536072
93	0.4527457555
94	0.4517906073
95	0.4509647254
96	0.4502709129
97	0.4496320956
98	0.448884097
99	0.4483843139
100	0.4473822623
101	0.4465410926
102	0.445489421
103	0.4446270105
104	0.4437153845
105	0.4430077871
106	0.4421251759
107	0.4410189426
108	0.440450466
109	0.4395233501
110	0.4384965897
111	0.4376894633
112	0.4369967201
113	0.4363142071
114	0.4358645352
115	0.4351677172
116	0.4342918685
117	0.4334053849
118	0.4327218894
119	0.4320480173
120	0.4312796159
121	0.430907105
122	0.4303780469
123	0.4297258782
124	0.4293261441
125	0.4285684932
126	0.4280371521
127	0.4275184978
128	0.4267387101
129	0.4262018493
130	0.4256591797
131	0.4250527006
132	0.4245225155
133	0.423738942
134	0.4231685581
135	0.4225932613
136	0.4219847592
137	0.4216490659
138	0.4210876118
139	0.4208201495
140	0.4202542738
141	0.4197620912
142	0.4191548897
143	0.4184181907
144	0.4179277131
145	0.4176806537
146	0.4168817925
147	0.4163086631
148	0.4158285892
149	0.4151389093
150	0.4146017306
151	0.4139884313
152	0.4134005633
153	0.4128883246
154	0.4124016039
155	0.4116020781
156	0.4108786438
157	0.4101042892
158	0.4093193285
159	0.4085201206
160	0.4078181874
161	0.4070593516
162	0.4064873204
163	0.4059149424
164	0.4053879651
165	0.4048737035
166	0.4042770501
167	0.4038749753
168	0.4032293955
169	0.4027082559
170	0.4022719065
171	0.4016538967
172	0.4013797009
173	0.4008228129
174	0.4002943039
175	0.3998098662
176	0.39930465
177	0.3987617493
178	0.3983743552
179	0.3980305412
180	0.3974562269
181	0.3970896403
182	0.3965388211
183	0.3959763267
184	0.3955274351
185	0.3951166615
186	0.3947394978
187	0.3942835548
188	0.3939093965
189	0.3933391571
190	0.3929346836
191	0.3924346693
192	0.3920656551
193	0.3916121396
194	0.3911456773
195	0.3906280055
196	0.3903509776
197	0.3898797469
198	0.389336297
199	0.3889061321
200	0.3883045948
201	0.3877825881
202	0.387448542
203	0.3871949514
204	0.386730512
205	0.3861919172
206	0.3857742078
207	0.3853834037
208	0.3848081936
209	0.3843794736
210	0.3839148897
211	0.3835307324
212	0.3830765811
213	0.3826602011
214	0.3823247389
215	0.3820678827
216	0.3814981634
217	0.3812596003
218	0.3807838035
219	0.3804301638
220	0.3801220403
221	0.3797726487
222	0.3792231589
223	0.3789098335
224	0.3783506625
225	0.3777974736
226	0.377593474
227	0.3770358924
228	0.3766169982
229	0.3762376959
230	0.3757991502
231	0.3754100222
232	0.3749653209
233	0.3744606827
234	0.3739614776
235	0.3735754418
236	0.3732660467
237	0.3728713122
238	0.3726783521
239	0.3723328908
240	0.3719771414
241	0.3714386333
242	0.3711612008
243	0.3708032261
244	0.370581309
245	0.3702971719
246	0.3700485229
247	0.3695875515
248	0.3692836183
249	0.368836374
250	0.3686854912
251	0.3681424459
252	0.3677811478
253	0.3674258319
254	0.3671537457
255	0.3668308547
256	0.3664355423
257	0.3661306266
258	0.3658810529
259	0.3654879368
260	0.3652453278
261	0.3648643494
262	0.364411383
263	0.3640515299
264	0.363717137
265	0.3631804206
266	0.3627935178
267	0.3623554923
268	0.3620897351
269	0.3618887121
270	0.3615217209
271	0.3612777248
272	0.3609478112
273	0.3605041793
274	0.3602240591
275	0.3599374945
276	0.3595162016
277	0.3590709513
278	0.3587978825
279	0.3583250335
280	0.3580634088
281	0.3578140374
282	0.3574913198
283	0.3573337324
284	0.3569947445
285	0.3566521442
286	0.356137189
287	0.3559234504
288	0.3556840781
289	0.3555164337
290	0.3550436424
291	0.3548438621
292	0.3543465932
293	0.3539664529
294	0.353558338
295	0.3532844601
296	0.3532709353
297	0.3529474085
298	0.3525433107
299	0.3520691612
300	0.3517005516
301	0.3513921102
302	0.3511608008
303	0.3507255496
304	0.3503807819
305	0.3500751727
306	0.3497711528
307	0.3495291797
308	0.3492275585
309	0.348843141
310	0.3484980265
311	0.3480907787
312	0.3475652175
313	0.3472016074
314	0.3468849876
315	0.3466345469
316	0.3464728847
317	0.3459806731
318	0.3457588138
319	0.3455672409
320	0.3454561812
321	0.3450842771
322	0.344803261
323	0.3443887306
324	0.344233773
325	0.3439339146
326	0.3437027498
327	0.3434352875
328	0.3431792115
329	0.3426930399
330	0.3424707471
331	0.3420967911
332	0.3417987823
333	0.3415705652
334	0.341328303
335	0.3411770734
336	0.3409905867
337	0.3406957569
338	0.3402874109
339	0.3400483565
340	0.3397188476
341	0.3394625115
342	0.3392151919
343	0.338736274
344	0.3383936449
345	0.3381112995
346	0.3377891887
347	0.3375545848
348	0.3371685201
349	0.3369525852
350	0.3366754994
351	0.3363366561
352	0.3360310179
353	0.3357953736
354	0.3353200681
355	0.335043098
356	0.3347020583
357	0.3344152913
358	0.3341404308
359	0.3338067893
360	0.3337422284
361	0.3333888198
362	0.3331165603
363	0.332961487
364	0.3326677843
365	0.3322825865
366	0.331965013
367	0.3317395124
368	0.3313951203
369	0.331103296
370	0.33102758
371	0.3306077899
372	0.330384948
373	0.3301347675
374	0.3298031778
375	0.329447544
376	0.3292349324
377	0.3289647536
378	0.3286110271
379	0.3284050335
380	0.3282003403
381	0.327878374
382	0.3275166136
383	0.3272894657
384	0.3270359039
385	0.3267669389
386	0.326439713
387	0.3262141546
388	0.3259369821
389	0.3256298701
390	0.3252054272
391	0.3249848684
392	0.3247871977
393	0.3245084358
394	0.3241099155
395	0.3238678557
396	0.3234764446
397	0.323318048
398	0.3230802941
399	0.322733619
400	0.3226462277
401	0.3225251978
402	0.3222946398
403	0.322148352
404	0.3219821236
405	0.3217232155
406	0.3214748267
407	0.3212353099
408	0.3209551031
409	0.3206275015
410	0.3202600479
411	0.3201425148
412	0.3198960333
413	0.3195541555
414	0.3194281838
415	0.3192277966
416	0.3189453356
417	0.3186214909
418	0.3183440006
419	0.3180158789
420	0.3178513267
421	0.3174152952
422	0.3171839859
423	0.3169025941
424	0.3165415562
425	0.3163237138
426	0.3160969705
427	0.3157450936
428	0.3156118682
429	0.3154278379
430	0.3152725624
431	0.3150259076
432	0.3148146543
433	0.3146307685
434	0.3144119147
435	0.3141719934
436	0.3138617891
437	0.3136254513
438	0.3133340893
439	0.3131471981
440	0.3130975203
441	0.3127512209
442	0.3125536081
443	0.3123976101
444	0.3122071353
445	0.3120756438
446	0.3117689075
447	0.31162996
448	0.3114574028
449	0.3111553481
450	0.3109762018
451	0.3105166464
452	0.3101141381
453	0.3098636974
454	0.3096671249
455	0.3094657551
456	0.309337327
457	0.3091528632
458	0.3087789073
459	0.3086413759
460	0.3084303538
461	0.3080461386
462	0.3077804103
463	0.307345766
464	0.3070736798
465	0.3068408966
466	0.3065840403
467	0.3061043132
468	0.3057593721
469	0.3055874218
470	0.3054315394
471	0.3051878033
472	0.3048376604
473	0.3045980858
474	0.3043399869
475	0.3039959994
476	0.3037092324
477	0.3034967365
478	0.3033749551
479	0.3031851451
480	0.3029658578
481	0.3027070941
482	0.3024979794
483	0.3022263845
484	0.3019956242
485	0.301674236
486	0.30143706
487	0.3012966676
488	0.3011323755
489	0.3008702596
490	0.3008005547
491	0.3004886165
492	0.3002312978
493	0.3000434818
494	0.2997272954
495	0.2994618849
496	0.2993122737
497	0.2989809441
498	0.2987224405
499	0.2984237093
500	0.2981664773
501	0.2980298707
502	0.2978713296
503	0.2976457133
504	0.2973795804
505	0.2971650326
506	0.2968370842
507	0.2965691884
508	0.2963553053
509	0.2961773439
510	0.2958726016
511	0.2956027696
512	0.295369235
513	0.2951275219
514	0.2948257562
515	0.294557398
516	0.2944461649
517	0.2941962155
518	0.2938529506
519	0.2936887452
520	0.2932226297
521	0.2929743275
522	0.2926680536
523	0.2924997156
524	0.29225413
525	0.2921098073
526	0.2919875636
527	0.2916719841
528	0.2915230086
529	0.2911269737
530	0.2908246878
531	0.2906171047
532	0.2903996092
533	0.2902045394
534	0.2900314331
535	0.2898428946
536	0.289625977
537	0.2894066319
538	0.2891095479
539	0.2889527408
540	0.2886958267
541	0.288333835
542	0.2881334478
543	0.2880047018
544	0.28776663
545	0.2876506863
546	0.2872326591
547	0.2869056355
548	0.286663171
549	0.2863955064
550	0.2861582727
551	0.2858231573
552	0.2857199004
553	0.2854734479
554	0.2852862676
555	0.2849620183
556	0.2847433668
557	0.2845393672
558	0.2843340382
559	0.2839587241
560	0.2838045178
561	0.2836031769
562	0.2834147251
563	0.2832091071
564	0.2829533779
565	0.2826304869
566	0.2823814623
567	0.2821518002
568	0.2818146619
569	0.281669819
570	0.2813927044
571	0.2810291521
572	0.28082128
573	0.2807878725
574	0.2804560228
575	0.2801039725
576	0.2797259128
577	0.2795672561
578	0.2795381835
579	0.2792877717
580	0.2790822694
581	0.2790042993
582	0.2787323576
583	0.2785441659
584	0.2784051895
585	0.278147264
586	0.2779310978
587	0.2776784319
588	0.2774487698
589	0.2772279219
